TYPE,Melee,,
NAME,Jawbreaker,,
NICKNAME,*Random*,,
CLASS,TANK,,
ROBO ID,#,,
HEAD,Common Power Gear ,Common Brave Gear ,
BACK,Common Primal Gear ,Common Fearless Gear,
SHOULDERS,Common Kinetic Gear ,Common Bold Gear ,
HANDS,Common Mega Gear ,Common Force Gear ,
CORE ElEMENT,Fire,ICE,ELECTRIC
HEAD ELEMENT,Fire,ICE,ELECTRIC
BACK ELEMENT,Fire,ICE,ELECTRIC
SHOULDERS ELEMENT,Fire,ICE,ELECTRIC
HANDS ELEMENT,Fire,ICE,ELECTRIC
CORE RARITY,Common,,
HEAD RARITY,Common,,
BACK RARITY,Common,,
SHOULDERS RARITY,Common,,
HANDS RARITY,Common,,
BODY RARITY,Common,,
CORE EFFICIENCY,1,100,
HEAD EFFICIENCY,1,100,
BACK EFFICIENCY,1,100,
SHOULDERS EFFICIENCY,1,100,
HANDS EFFICIENCY,1,100,
HP,15,25,
DMG,1,5,
ATTACK SPEED,0.4,0.8,
SPECIAL ABILITY CHARGE,10,8,
